,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,259.0,27.0,9.0,0.0,26.0,435.0,14.0,247.0
EPAD,578.0,50.0,1.0,8.0,24.0,431.0,3.0,142.0
AIBL,16.0,0.0,2.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,54.0,3.0,14.0,2.0,2.0,76.0,47.0,19.0
EDSD,20.0,2.0,4.0,1.0,6.0,31.0,5.0,16.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,118.0,3.0,10.0
PharmaCog,41.0,2.0,5.0,0.0,1.0,52.0,20.0,24.0
NACC,171.0,4.0,8.0,4.0,15.0,206.0,44.0,54.0
EMIF,241.0,14.0,16.0,2.0,26.0,468.0,87.0,160.0
DOD-ADNI,46.0,2.0,0.0,6.0,3.0,51.0,0.0,5.0
JADNI,55.0,0.0,1.0,0.0,30.0,75.0,2.0,34.0
