,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,24.0,4.0,0.0,23.0,480.0,17.0,188.0
EPAD,589.0,59.0,2.0,3.0,19.0,402.0,9.0,154.0
AIBL,19.0,0.0,3.0,0.0,0.0,23.0,3.0,9.0
ARWIBO,52.0,5.0,0.0,11.0,23.0,91.0,5.0,30.0
EDSD,27.0,0.0,1.0,2.0,6.0,40.0,1.0,8.0
PREVENT-AD,109.0,9.0,1.0,1.0,0.0,10.0,1.0,2.0
PharmaCog,29.0,1.0,17.0,0.0,0.0,25.0,50.0,23.0
NACC,170.0,8.0,9.0,14.0,20.0,178.0,39.0,68.0
EMIF,314.0,19.0,20.0,5.0,26.0,383.0,87.0,160.0
DOD-ADNI,52.0,6.0,0.0,1.0,2.0,46.0,1.0,5.0
JADNI,55.0,0.0,1.0,0.0,18.0,63.0,6.0,54.0
