,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,254.0,25.0,7.0,0.0,39.0,429.0,9.0,254.0
EPAD,607.0,49.0,8.0,3.0,14.0,418.0,3.0,135.0
AIBL,8.0,0.0,1.0,1.0,0.0,35.0,3.0,9.0
ARWIBO,51.0,2.0,9.0,1.0,1.0,90.0,53.0,10.0
EDSD,21.0,0.0,3.0,2.0,2.0,37.0,9.0,11.0
PREVENT-AD,94.0,9.0,0.0,1.0,0.0,23.0,1.0,5.0
PharmaCog,48.0,1.0,5.0,0.0,1.0,59.0,9.0,22.0
NACC,161.0,4.0,7.0,9.0,14.0,195.0,55.0,61.0
EMIF,319.0,16.0,11.0,7.0,24.0,427.0,72.0,138.0
DOD-ADNI,44.0,11.0,1.0,1.0,1.0,47.0,0.0,8.0
JADNI,49.0,0.0,1.0,0.0,20.0,69.0,5.0,53.0
