,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,20.0,7.0,0.0,5.0,480.0,27.0,213.0
EPAD,600.0,50.0,4.0,5.0,17.0,420.0,3.0,138.0
AIBL,10.0,0.0,0.0,0.0,2.0,38.0,0.0,7.0
ARWIBO,55.0,3.0,11.0,1.0,2.0,79.0,51.0,15.0
EDSD,18.0,2.0,3.0,2.0,10.0,30.0,3.0,17.0
PREVENT-AD,16.0,4.0,1.0,0.0,1.0,102.0,3.0,6.0
PharmaCog,46.0,1.0,2.0,0.0,3.0,69.0,3.0,21.0
NACC,165.0,8.0,10.0,13.0,18.0,167.0,51.0,74.0
EMIF,299.0,19.0,9.0,9.0,46.0,410.0,54.0,168.0
DOD-ADNI,7.0,8.0,0.0,1.0,2.0,85.0,0.0,10.0
JADNI,55.0,0.0,1.0,0.0,30.0,67.0,2.0,42.0
