,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,269.0,32.0,8.0,0.0,46.0,405.0,3.0,254.0
EPAD,587.0,59.0,2.0,3.0,19.0,402.0,9.0,156.0
AIBL,19.0,2.0,1.0,2.0,5.0,15.0,1.0,12.0
ARWIBO,47.0,13.0,6.0,5.0,8.0,63.0,20.0,55.0
EDSD,21.0,2.0,5.0,2.0,5.0,22.0,5.0,23.0
PREVENT-AD,24.0,6.0,1.0,2.0,1.0,90.0,1.0,8.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,68.0,6.0,22.0
NACC,165.0,4.0,15.0,4.0,13.0,199.0,50.0,56.0
EMIF,280.0,16.0,13.0,10.0,44.0,402.0,74.0,175.0
DOD-ADNI,10.0,8.0,1.0,0.0,0.0,85.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,29.0,69.0,2.0,42.0
