,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,276.0,34.0,8.0,0.0,30.0,416.0,11.0,242.0
EPAD,583.0,59.0,2.0,4.0,19.0,405.0,8.0,157.0
AIBL,17.0,0.0,3.0,0.0,0.0,26.0,2.0,9.0
ARWIBO,62.0,1.0,6.0,2.0,0.0,110.0,31.0,5.0
EDSD,22.0,0.0,1.0,2.0,9.0,46.0,0.0,5.0
PREVENT-AD,58.0,7.0,0.0,1.0,1.0,59.0,1.0,6.0
PharmaCog,45.0,1.0,2.0,0.0,3.0,70.0,3.0,21.0
NACC,181.0,11.0,9.0,4.0,17.0,179.0,40.0,65.0
EMIF,296.0,16.0,10.0,15.0,66.0,431.0,40.0,140.0
DOD-ADNI,34.0,7.0,1.0,0.0,0.0,63.0,1.0,7.0
JADNI,53.0,0.0,2.0,0.0,15.0,66.0,6.0,55.0
