,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,22.0,5.0,0.0,18.0,493.0,20.0,185.0
EPAD,579.0,56.0,4.0,3.0,15.0,418.0,12.0,150.0
AIBL,20.0,0.0,2.0,0.0,0.0,27.0,0.0,8.0
ARWIBO,56.0,3.0,9.0,2.0,3.0,89.0,37.0,18.0
EDSD,25.0,1.0,4.0,0.0,0.0,35.0,16.0,4.0
PREVENT-AD,80.0,8.0,0.0,33.0,4.0,6.0,0.0,2.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,68.0,6.0,22.0
NACC,171.0,7.0,8.0,3.0,10.0,207.0,45.0,55.0
EMIF,302.0,15.0,12.0,6.0,37.0,438.0,55.0,149.0
DOD-ADNI,31.0,8.0,1.0,1.0,0.0,64.0,0.0,8.0
JADNI,51.0,0.0,1.0,0.0,31.0,73.0,2.0,39.0
