,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,22.0,6.0,0.0,22.0,468.0,12.0,234.0
EPAD,596.0,49.0,3.0,6.0,21.0,419.0,2.0,141.0
AIBL,20.0,0.0,2.0,0.0,0.0,24.0,2.0,9.0
ARWIBO,55.0,6.0,1.0,8.0,12.0,97.0,14.0,24.0
EDSD,29.0,0.0,1.0,2.0,1.0,47.0,1.0,4.0
PREVENT-AD,96.0,2.0,0.0,6.0,2.0,25.0,0.0,2.0
PharmaCog,47.0,1.0,2.0,0.0,3.0,68.0,3.0,21.0
NACC,152.0,8.0,12.0,8.0,15.0,183.0,55.0,73.0
EMIF,293.0,13.0,12.0,6.0,38.0,430.0,65.0,157.0
DOD-ADNI,32.0,10.0,1.0,1.0,0.0,61.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,28.0,68.0,2.0,43.0
