,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,254.0,26.0,9.0,0.0,38.0,417.0,8.0,265.0
EPAD,591.0,52.0,4.0,5.0,17.0,416.0,6.0,146.0
AIBL,24.0,0.0,0.0,0.0,0.0,25.0,0.0,8.0
ARWIBO,59.0,2.0,4.0,3.0,6.0,105.0,22.0,16.0
EDSD,22.0,1.0,6.0,1.0,0.0,33.0,17.0,5.0
PREVENT-AD,67.0,6.0,0.0,2.0,1.0,50.0,1.0,6.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,70.0,3.0,21.0
NACC,161.0,4.0,7.0,3.0,9.0,207.0,56.0,59.0
EMIF,310.0,24.0,17.0,8.0,31.0,374.0,81.0,169.0
DOD-ADNI,19.0,8.0,1.0,0.0,0.0,77.0,0.0,8.0
JADNI,53.0,0.0,1.0,0.0,18.0,67.0,5.0,53.0
