,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,27.0,7.0,0.0,42.0,424.0,8.0,249.0
EPAD,570.0,52.0,4.0,4.0,16.0,426.0,11.0,154.0
AIBL,22.0,0.0,0.0,0.0,1.0,26.0,0.0,8.0
ARWIBO,58.0,1.0,4.0,2.0,0.0,113.0,34.0,5.0
EDSD,21.0,1.0,4.0,1.0,4.0,34.0,6.0,14.0
PREVENT-AD,98.0,8.0,2.0,1.0,0.0,20.0,2.0,2.0
PharmaCog,47.0,1.0,3.0,0.0,1.0,61.0,10.0,22.0
NACC,158.0,4.0,4.0,12.0,21.0,217.0,35.0,55.0
EMIF,289.0,20.0,16.0,13.0,49.0,384.0,72.0,171.0
DOD-ADNI,8.0,10.0,1.0,0.0,0.0,82.0,1.0,11.0
JADNI,56.0,0.0,1.0,0.0,29.0,67.0,2.0,42.0
