,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,270.0,32.0,7.0,0.0,33.0,426.0,12.0,237.0
EPAD,593.0,53.0,1.0,7.0,25.0,410.0,5.0,143.0
AIBL,17.0,1.0,1.0,3.0,1.0,24.0,0.0,10.0
ARWIBO,61.0,2.0,6.0,1.0,0.0,105.0,37.0,5.0
EDSD,21.0,1.0,3.0,1.0,4.0,35.0,6.0,14.0
PREVENT-AD,0.0,1.0,0.0,0.0,118.0,1.0,0.0,13.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,63.0,10.0,23.0
NACC,190.0,5.0,5.0,5.0,14.0,191.0,44.0,52.0
EMIF,296.0,19.0,18.0,10.0,25.0,372.0,101.0,173.0
DOD-ADNI,52.0,3.0,3.0,0.0,2.0,47.0,1.0,5.0
JADNI,56.0,0.0,1.0,0.0,18.0,64.0,5.0,53.0
