,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,17.0,3.0,0.0,36.0,522.0,6.0,167.0
EPAD,569.0,49.0,4.0,5.0,18.0,438.0,6.0,148.0
AIBL,21.0,0.0,0.0,0.0,0.0,28.0,1.0,7.0
ARWIBO,58.0,2.0,13.0,1.0,1.0,80.0,55.0,7.0
EDSD,17.0,1.0,2.0,0.0,0.0,44.0,16.0,5.0
PREVENT-AD,43.0,2.0,4.0,0.0,0.0,77.0,6.0,1.0
PharmaCog,47.0,0.0,0.0,2.0,24.0,71.0,0.0,1.0
NACC,160.0,5.0,11.0,5.0,9.0,187.0,60.0,69.0
EMIF,333.0,22.0,11.0,13.0,30.0,360.0,65.0,180.0
DOD-ADNI,5.0,8.0,1.0,0.0,2.0,86.0,0.0,11.0
JADNI,56.0,0.0,1.0,0.0,25.0,67.0,2.0,46.0
