,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,276.0,23.0,4.0,0.0,24.0,484.0,16.0,190.0
EPAD,590.0,50.0,2.0,6.0,22.0,424.0,2.0,141.0
AIBL,25.0,1.0,3.0,0.0,0.0,15.0,5.0,8.0
ARWIBO,49.0,8.0,3.0,8.0,13.0,83.0,12.0,41.0
EDSD,25.0,1.0,3.0,1.0,0.0,35.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,116.0,2.0,13.0
PharmaCog,45.0,1.0,2.0,0.0,2.0,71.0,3.0,21.0
NACC,139.0,3.0,20.0,2.0,7.0,216.0,70.0,49.0
EMIF,295.0,15.0,13.0,8.0,37.0,416.0,78.0,152.0
DOD-ADNI,21.0,9.0,2.0,0.0,0.0,73.0,0.0,8.0
JADNI,46.0,0.0,5.0,0.0,5.0,63.0,13.0,65.0
