,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,22.0,7.0,0.0,8.0,473.0,25.0,222.0
EPAD,593.0,49.0,4.0,5.0,18.0,423.0,5.0,140.0
AIBL,12.0,0.0,0.0,0.0,1.0,36.0,0.0,8.0
ARWIBO,63.0,6.0,0.0,6.0,13.0,96.0,12.0,21.0
EDSD,19.0,1.0,5.0,1.0,2.0,33.0,13.0,11.0
PREVENT-AD,118.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0
PharmaCog,46.0,1.0,4.0,0.0,1.0,61.0,9.0,23.0
NACC,153.0,9.0,16.0,11.0,9.0,158.0,72.0,78.0
EMIF,297.0,12.0,4.0,6.0,44.0,488.0,41.0,122.0
DOD-ADNI,9.0,5.0,0.0,0.0,0.0,88.0,0.0,11.0
JADNI,55.0,0.0,1.0,0.0,28.0,69.0,2.0,42.0
