,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,271.0,24.0,10.0,0.0,2.0,470.0,33.0,207.0
EPAD,604.0,50.0,8.0,3.0,14.0,414.0,7.0,137.0
AIBL,14.0,0.0,1.0,0.0,1.0,31.0,2.0,8.0
ARWIBO,51.0,10.0,5.0,8.0,8.0,74.0,15.0,46.0
EDSD,19.0,2.0,4.0,2.0,9.0,25.0,5.0,19.0
PREVENT-AD,117.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0
PharmaCog,45.0,1.0,2.0,0.0,1.0,63.0,11.0,22.0
NACC,145.0,10.0,18.0,6.0,3.0,154.0,90.0,80.0
EMIF,289.0,19.0,20.0,8.0,26.0,386.0,96.0,170.0
DOD-ADNI,3.0,3.0,0.0,1.0,3.0,95.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,32.0,69.0,2.0,39.0
