,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,268.0,32.0,9.0,0.0,43.0,406.0,5.0,254.0
EPAD,591.0,54.0,4.0,5.0,16.0,408.0,10.0,149.0
AIBL,16.0,0.0,2.0,0.0,1.0,29.0,1.0,8.0
ARWIBO,62.0,4.0,1.0,4.0,13.0,101.0,13.0,19.0
EDSD,23.0,2.0,5.0,1.0,5.0,26.0,7.0,16.0
PREVENT-AD,74.0,15.0,0.0,42.0,2.0,0.0,0.0,0.0
PharmaCog,41.0,0.0,1.0,0.0,2.0,75.0,4.0,22.0
NACC,185.0,5.0,12.0,2.0,8.0,191.0,60.0,43.0
EMIF,294.0,15.0,12.0,8.0,43.0,422.0,64.0,156.0
DOD-ADNI,34.0,7.0,0.0,2.0,1.0,62.0,0.0,7.0
JADNI,56.0,0.0,1.0,0.0,16.0,77.0,2.0,45.0
