,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,212.0,58.0,31.0,0.0,2.0,244.0,44.0,426.0
EPAD,588.0,55.0,3.0,5.0,18.0,409.0,9.0,150.0
AIBL,16.0,0.0,2.0,0.0,1.0,29.0,1.0,8.0
ARWIBO,53.0,2.0,12.0,1.0,0.0,89.0,54.0,6.0
EDSD,21.0,0.0,2.0,2.0,0.0,49.0,6.0,5.0
PREVENT-AD,101.0,10.0,0.0,2.0,1.0,15.0,1.0,3.0
PharmaCog,47.0,1.0,0.0,0.0,3.0,72.0,2.0,20.0
NACC,155.0,5.0,5.0,8.0,13.0,195.0,56.0,69.0
EMIF,300.0,15.0,12.0,7.0,42.0,450.0,42.0,146.0
DOD-ADNI,14.0,9.0,1.0,1.0,1.0,78.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,20.0,66.0,5.0,51.0
