,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,28.0,13.0,0.0,4.0,450.0,28.0,234.0
EPAD,574.0,43.0,6.0,5.0,19.0,447.0,2.0,141.0
AIBL,2.0,0.0,0.0,9.0,24.0,13.0,0.0,9.0
ARWIBO,53.0,2.0,19.0,1.0,0.0,64.0,72.0,6.0
EDSD,20.0,2.0,4.0,1.0,6.0,28.0,8.0,16.0
PREVENT-AD,85.0,16.0,2.0,9.0,0.0,12.0,1.0,8.0
PharmaCog,39.0,1.0,6.0,0.0,1.0,59.0,16.0,23.0
NACC,161.0,4.0,8.0,3.0,14.0,216.0,41.0,59.0
EMIF,294.0,21.0,13.0,13.0,39.0,374.0,73.0,187.0
DOD-ADNI,52.0,6.0,0.0,1.0,2.0,46.0,0.0,6.0
JADNI,53.0,0.0,3.0,0.0,17.0,56.0,5.0,63.0
