,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,23.0,6.0,0.0,25.0,456.0,12.0,233.0
EPAD,597.0,58.0,3.0,4.0,16.0,399.0,11.0,149.0
AIBL,20.0,0.0,2.0,0.0,0.0,25.0,1.0,9.0
ARWIBO,48.0,5.0,0.0,8.0,28.0,94.0,5.0,29.0
EDSD,25.0,0.0,1.0,1.0,1.0,52.0,2.0,3.0
PREVENT-AD,110.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0
PharmaCog,45.0,0.0,0.0,0.0,23.0,75.0,0.0,2.0
NACC,175.0,4.0,5.0,4.0,14.0,205.0,45.0,54.0
EMIF,311.0,17.0,8.0,9.0,55.0,445.0,34.0,135.0
DOD-ADNI,48.0,10.0,0.0,1.0,0.0,46.0,0.0,8.0
JADNI,51.0,0.0,1.0,0.0,31.0,73.0,2.0,39.0
