,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,19.0,3.0,0.0,24.0,495.0,17.0,194.0
EPAD,594.0,51.0,3.0,6.0,22.0,414.0,6.0,141.0
AIBL,14.0,1.0,1.0,1.0,0.0,29.0,1.0,10.0
ARWIBO,61.0,2.0,9.0,1.0,2.0,95.0,39.0,8.0
EDSD,21.0,1.0,4.0,1.0,0.0,38.0,13.0,7.0
PREVENT-AD,103.0,10.0,0.0,1.0,0.0,14.0,1.0,4.0
PharmaCog,48.0,0.0,0.0,1.0,9.0,72.0,0.0,15.0
NACC,158.0,3.0,9.0,4.0,16.0,218.0,44.0,54.0
EMIF,310.0,18.0,18.0,5.0,20.0,398.0,97.0,148.0
DOD-ADNI,9.0,5.0,0.0,2.0,2.0,87.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,23.0,71.0,2.0,44.0
