,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,257.0,25.0,9.0,0.0,25.0,435.0,16.0,250.0
EPAD,594.0,53.0,2.0,5.0,19.0,413.0,6.0,145.0
AIBL,3.0,0.0,0.0,15.0,27.0,4.0,0.0,8.0
ARWIBO,51.0,0.0,6.0,1.0,0.0,117.0,42.0,0.0
EDSD,22.0,0.0,1.0,2.0,0.0,49.0,6.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,120.0,1.0,9.0
PharmaCog,39.0,1.0,5.0,0.0,1.0,57.0,17.0,25.0
NACC,185.0,8.0,9.0,6.0,10.0,176.0,50.0,62.0
EMIF,306.0,13.0,10.0,8.0,35.0,430.0,65.0,147.0
DOD-ADNI,15.0,5.0,0.0,1.0,3.0,83.0,0.0,6.0
JADNI,54.0,0.0,1.0,0.0,23.0,70.0,2.0,47.0
