,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,22.0,10.0,0.0,14.0,455.0,18.0,245.0
EPAD,601.0,54.0,4.0,5.0,21.0,409.0,6.0,137.0
AIBL,13.0,2.0,1.0,1.0,2.0,26.0,2.0,10.0
ARWIBO,60.0,1.0,3.0,2.0,4.0,118.0,17.0,12.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,62.0,11.0,0.0,7.0,0.0,41.0,4.0,8.0
PharmaCog,47.0,0.0,0.0,1.0,23.0,73.0,0.0,1.0
NACC,175.0,10.0,13.0,15.0,18.0,166.0,41.0,68.0
EMIF,307.0,15.0,11.0,6.0,38.0,455.0,48.0,134.0
DOD-ADNI,11.0,7.0,1.0,0.0,0.0,85.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,35.0,66.0,2.0,37.0
