,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,26.0,8.0,0.0,34.0,431.0,10.0,250.0
EPAD,574.0,57.0,2.0,4.0,19.0,418.0,9.0,154.0
AIBL,2.0,2.0,0.0,8.0,18.0,14.0,0.0,13.0
ARWIBO,67.0,1.0,5.0,2.0,3.0,105.0,25.0,9.0
EDSD,23.0,2.0,2.0,1.0,8.0,29.0,4.0,16.0
PREVENT-AD,120.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0
PharmaCog,48.0,0.0,0.0,1.0,20.0,73.0,0.0,3.0
NACC,162.0,5.0,12.0,3.0,6.0,185.0,64.0,69.0
EMIF,297.0,14.0,12.0,9.0,49.0,430.0,51.0,152.0
DOD-ADNI,31.0,10.0,1.0,2.0,1.0,60.0,0.0,8.0
JADNI,53.0,0.0,3.0,0.0,12.0,60.0,9.0,60.0
