,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,23.0,6.0,0.0,25.0,458.0,12.0,233.0
EPAD,590.0,51.0,6.0,4.0,15.0,418.0,6.0,147.0
AIBL,16.0,0.0,2.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,54.0,10.0,5.0,6.0,5.0,78.0,20.0,39.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,104.0,7.0,0.0,2.0,0.0,16.0,2.0,2.0
PharmaCog,45.0,1.0,3.0,0.0,1.0,63.0,9.0,23.0
NACC,153.0,11.0,6.0,16.0,17.0,163.0,60.0,80.0
EMIF,304.0,12.0,9.0,7.0,41.0,431.0,60.0,150.0
DOD-ADNI,17.0,6.0,0.0,1.0,0.0,80.0,0.0,9.0
JADNI,51.0,0.0,1.0,0.0,6.0,81.0,9.0,49.0
