,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,24.0,5.0,0.0,30.0,451.0,11.0,234.0
EPAD,594.0,51.0,6.0,3.0,14.0,416.0,6.0,147.0
AIBL,19.0,3.0,1.0,1.0,1.0,13.0,5.0,14.0
ARWIBO,54.0,3.0,2.0,3.0,6.0,112.0,20.0,17.0
EDSD,23.0,0.0,1.0,2.0,1.0,49.0,5.0,4.0
PREVENT-AD,94.0,9.0,0.0,1.0,1.0,23.0,1.0,4.0
PharmaCog,44.0,2.0,2.0,0.0,1.0,61.0,11.0,24.0
NACC,155.0,5.0,14.0,12.0,22.0,195.0,41.0,62.0
EMIF,304.0,17.0,9.0,11.0,49.0,413.0,55.0,156.0
DOD-ADNI,40.0,7.0,0.0,4.0,1.0,54.0,0.0,7.0
JADNI,54.0,0.0,1.0,0.0,29.0,67.0,2.0,44.0
