,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,271.0,33.0,8.0,0.0,30.0,418.0,13.0,244.0
EPAD,597.0,57.0,4.0,6.0,18.0,405.0,6.0,144.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,35.0,0.0,3.0,2.0,0.0,141.0,29.0,7.0
EDSD,21.0,1.0,4.0,1.0,1.0,37.0,12.0,8.0
PREVENT-AD,94.0,15.0,1.0,8.0,0.0,8.0,3.0,4.0
PharmaCog,43.0,0.0,0.0,0.0,21.0,78.0,0.0,3.0
NACC,184.0,6.0,9.0,2.0,10.0,195.0,46.0,54.0
EMIF,291.0,15.0,10.0,8.0,42.0,431.0,68.0,149.0
DOD-ADNI,11.0,6.0,0.0,2.0,1.0,85.0,0.0,8.0
JADNI,54.0,0.0,1.0,0.0,20.0,68.0,3.0,51.0
