,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,34.0,6.0,0.0,61.0,390.0,3.0,248.0
EPAD,568.0,50.0,4.0,6.0,19.0,435.0,6.0,149.0
AIBL,8.0,0.0,1.0,1.0,0.0,35.0,3.0,9.0
ARWIBO,38.0,4.0,0.0,7.0,27.0,101.0,6.0,34.0
EDSD,22.0,1.0,3.0,1.0,0.0,38.0,15.0,5.0
PREVENT-AD,87.0,6.0,2.0,1.0,0.0,31.0,1.0,5.0
PharmaCog,43.0,0.0,2.0,0.0,1.0,69.0,6.0,24.0
NACC,166.0,5.0,16.0,4.0,10.0,190.0,57.0,58.0
EMIF,262.0,16.0,8.0,5.0,46.0,454.0,63.0,160.0
DOD-ADNI,48.0,10.0,1.0,2.0,1.0,43.0,0.0,8.0
JADNI,53.0,0.0,1.0,0.0,18.0,67.0,5.0,53.0
