,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,23.0,5.0,0.0,17.0,484.0,23.0,184.0
EPAD,577.0,48.0,3.0,5.0,18.0,440.0,5.0,141.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,22.0,3.0,3.0,3.0,8.0,107.0,26.0,45.0
EDSD,19.0,1.0,4.0,1.0,3.0,37.0,7.0,13.0
PREVENT-AD,95.0,10.0,0.0,3.0,1.0,20.0,1.0,3.0
PharmaCog,47.0,0.0,0.0,1.0,20.0,74.0,0.0,3.0
NACC,174.0,13.0,17.0,8.0,13.0,156.0,54.0,71.0
EMIF,286.0,14.0,20.0,5.0,19.0,396.0,103.0,171.0
DOD-ADNI,11.0,6.0,0.0,1.0,0.0,85.0,0.0,10.0
JADNI,53.0,0.0,2.0,0.0,16.0,62.0,7.0,57.0
