,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,287.0,27.0,0.0,4.0,43.0,463.0,4.0,189.0
EPAD,584.0,59.0,4.0,5.0,18.0,401.0,8.0,158.0
AIBL,18.0,0.0,0.0,0.0,0.0,31.0,4.0,4.0
ARWIBO,65.0,1.0,4.0,2.0,3.0,111.0,22.0,9.0
EDSD,24.0,0.0,1.0,2.0,6.0,43.0,2.0,7.0
PREVENT-AD,86.0,8.0,0.0,3.0,1.0,29.0,1.0,5.0
PharmaCog,43.0,1.0,2.0,0.0,1.0,70.0,6.0,22.0
NACC,175.0,7.0,7.0,10.0,10.0,173.0,58.0,66.0
EMIF,227.0,14.0,15.0,3.0,28.0,460.0,83.0,184.0
DOD-ADNI,37.0,8.0,1.0,0.0,0.0,59.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,13.0,63.0,7.0,58.0
