,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,31.0,7.0,0.0,38.0,428.0,9.0,241.0
EPAD,590.0,59.0,2.0,3.0,19.0,399.0,9.0,156.0
AIBL,16.0,0.0,2.0,0.0,0.0,28.0,2.0,9.0
ARWIBO,52.0,2.0,11.0,1.0,1.0,83.0,54.0,13.0
EDSD,20.0,2.0,4.0,1.0,6.0,29.0,6.0,17.0
PREVENT-AD,0.0,1.0,0.0,0.0,11.0,106.0,1.0,14.0
PharmaCog,43.0,1.0,2.0,0.0,1.0,69.0,7.0,22.0
NACC,163.0,6.0,16.0,3.0,10.0,194.0,54.0,60.0
EMIF,300.0,22.0,15.0,10.0,38.0,383.0,64.0,182.0
DOD-ADNI,31.0,9.0,1.0,0.0,0.0,64.0,0.0,8.0
JADNI,55.0,0.0,1.0,0.0,16.0,65.0,6.0,54.0
