,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,275.0,34.0,10.0,0.0,39.0,400.0,8.0,251.0
EPAD,586.0,54.0,0.0,8.0,29.0,412.0,4.0,144.0
AIBL,17.0,0.0,0.0,1.0,1.0,30.0,0.0,8.0
ARWIBO,64.0,3.0,13.0,1.0,2.0,70.0,46.0,18.0
EDSD,14.0,0.0,1.0,2.0,1.0,58.0,5.0,4.0
PREVENT-AD,0.0,1.0,0.0,0.0,10.0,104.0,0.0,18.0
PharmaCog,43.0,1.0,4.0,0.0,1.0,60.0,14.0,22.0
NACC,189.0,7.0,17.0,5.0,13.0,167.0,49.0,59.0
EMIF,313.0,16.0,11.0,10.0,47.0,431.0,40.0,146.0
DOD-ADNI,42.0,6.0,0.0,1.0,2.0,56.0,0.0,6.0
JADNI,55.0,0.0,1.0,0.0,20.0,65.0,5.0,51.0
