,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,25.0,0.0,6.0,61.0,463.0,2.0,172.0
EPAD,596.0,49.0,3.0,5.0,19.0,421.0,4.0,140.0
AIBL,20.0,0.0,2.0,0.0,0.0,26.0,1.0,8.0
ARWIBO,63.0,5.0,3.0,3.0,11.0,93.0,17.0,22.0
EDSD,20.0,3.0,6.0,0.0,2.0,21.0,11.0,22.0
PREVENT-AD,103.0,18.0,2.0,9.0,0.0,1.0,0.0,0.0
PharmaCog,45.0,1.0,4.0,0.0,1.0,62.0,9.0,23.0
NACC,181.0,5.0,14.0,2.0,11.0,192.0,48.0,53.0
EMIF,272.0,23.0,9.0,40.0,91.0,381.0,42.0,156.0
DOD-ADNI,32.0,8.0,0.0,1.0,0.0,64.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,32.0,66.0,2.0,40.0
