,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,27.0,13.0,0.0,2.0,453.0,29.0,220.0
EPAD,597.0,53.0,3.0,6.0,21.0,411.0,6.0,140.0
AIBL,10.0,0.0,1.0,1.0,0.0,33.0,3.0,9.0
ARWIBO,50.0,2.0,14.0,1.0,1.0,78.0,63.0,8.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,15.0,6.0
PREVENT-AD,106.0,10.0,1.0,4.0,1.0,9.0,0.0,2.0
PharmaCog,44.0,1.0,2.0,0.0,1.0,69.0,6.0,22.0
NACC,172.0,4.0,14.0,1.0,4.0,197.0,70.0,44.0
EMIF,304.0,11.0,8.0,7.0,46.0,458.0,43.0,137.0
DOD-ADNI,3.0,4.0,0.0,1.0,0.0,92.0,1.0,12.0
JADNI,54.0,0.0,1.0,0.0,16.0,81.0,2.0,43.0
