,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,34.0,7.0,0.0,53.0,398.0,3.0,245.0
EPAD,598.0,43.0,7.0,3.0,13.0,436.0,3.0,134.0
AIBL,18.0,0.0,2.0,1.0,0.0,25.0,2.0,9.0
ARWIBO,47.0,11.0,6.0,7.0,7.0,72.0,16.0,51.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,56.0,13.0,0.0,33.0,5.0,19.0,0.0,7.0
PharmaCog,41.0,4.0,3.0,0.0,2.0,56.0,8.0,31.0
NACC,158.0,7.0,10.0,14.0,26.0,180.0,42.0,69.0
EMIF,294.0,13.0,10.0,5.0,40.0,442.0,78.0,132.0
DOD-ADNI,4.0,6.0,0.0,2.0,2.0,88.0,0.0,11.0
JADNI,55.0,0.0,2.0,0.0,15.0,63.0,6.0,56.0
