,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,20.0,6.0,0.0,5.0,484.0,28.0,211.0
EPAD,599.0,43.0,7.0,3.0,14.0,435.0,3.0,133.0
AIBL,16.0,0.0,0.0,0.0,2.0,33.0,0.0,6.0
ARWIBO,54.0,8.0,7.0,2.0,4.0,80.0,32.0,30.0
EDSD,20.0,2.0,3.0,1.0,7.0,32.0,5.0,15.0
PREVENT-AD,4.0,6.0,0.0,9.0,61.0,43.0,0.0,10.0
PharmaCog,42.0,0.0,0.0,1.0,24.0,75.0,0.0,3.0
NACC,174.0,7.0,11.0,12.0,15.0,170.0,50.0,67.0
EMIF,285.0,15.0,12.0,8.0,44.0,430.0,68.0,152.0
DOD-ADNI,29.0,13.0,1.0,2.0,2.0,57.0,0.0,9.0
JADNI,54.0,0.0,1.0,0.0,29.0,68.0,2.0,43.0
