,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,284.0,23.0,8.0,0.0,4.0,467.0,37.0,194.0
EPAD,599.0,49.0,4.0,6.0,19.0,421.0,2.0,137.0
AIBL,12.0,0.0,0.0,0.0,5.0,37.0,0.0,3.0
ARWIBO,46.0,8.0,5.0,7.0,7.0,80.0,18.0,46.0
EDSD,22.0,1.0,2.0,2.0,8.0,31.0,4.0,15.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,120.0,1.0,9.0
PharmaCog,46.0,0.0,0.0,1.0,21.0,74.0,0.0,3.0
NACC,148.0,12.0,9.0,6.0,12.0,187.0,52.0,80.0
EMIF,278.0,18.0,10.0,9.0,46.0,414.0,53.0,186.0
DOD-ADNI,3.0,4.0,0.0,1.0,1.0,92.0,0.0,12.0
JADNI,61.0,0.0,1.0,0.0,28.0,62.0,2.0,43.0
