,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,20.0,5.0,0.0,8.0,486.0,27.0,207.0
EPAD,591.0,58.0,3.0,2.0,15.0,403.0,12.0,153.0
AIBL,11.0,0.0,1.0,0.0,1.0,34.0,2.0,8.0
ARWIBO,55.0,8.0,2.0,8.0,14.0,85.0,13.0,32.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,94.0,7.0,0.0,3.0,1.0,23.0,1.0,4.0
PharmaCog,45.0,1.0,3.0,0.0,1.0,63.0,9.0,23.0
NACC,141.0,5.0,9.0,8.0,15.0,208.0,52.0,68.0
EMIF,294.0,15.0,12.0,5.0,27.0,422.0,76.0,163.0
DOD-ADNI,10.0,6.0,0.0,1.0,2.0,86.0,0.0,8.0
JADNI,57.0,0.0,1.0,0.0,30.0,65.0,2.0,42.0
