,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,25.0,8.0,0.0,4.0,460.0,31.0,206.0
EPAD,599.0,52.0,4.0,4.0,19.0,413.0,6.0,140.0
AIBL,18.0,0.0,2.0,0.0,0.0,27.0,1.0,9.0
ARWIBO,24.0,2.0,0.0,5.0,39.0,116.0,1.0,30.0
EDSD,20.0,1.0,5.0,1.0,0.0,25.0,19.0,14.0
PREVENT-AD,100.0,16.0,3.0,4.0,0.0,5.0,2.0,3.0
PharmaCog,37.0,0.0,7.0,0.0,1.0,53.0,24.0,23.0
NACC,174.0,10.0,10.0,1.0,11.0,196.0,46.0,58.0
EMIF,289.0,13.0,10.0,8.0,53.0,453.0,38.0,150.0
DOD-ADNI,12.0,7.0,0.0,1.0,0.0,84.0,0.0,9.0
JADNI,56.0,0.0,1.0,0.0,29.0,67.0,2.0,42.0
