,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,24.0,2.0,0.0,24.0,490.0,9.0,185.0
EPAD,593.0,59.0,2.0,5.0,19.0,399.0,10.0,150.0
AIBL,14.0,0.0,2.0,0.0,0.0,33.0,0.0,8.0
ARWIBO,52.0,3.0,13.0,2.0,2.0,71.0,55.0,19.0
EDSD,22.0,0.0,3.0,2.0,3.0,37.0,5.0,13.0
PREVENT-AD,50.0,0.0,0.0,2.0,0.0,80.0,0.0,1.0
PharmaCog,37.0,0.0,0.0,0.0,21.0,84.0,0.0,3.0
NACC,168.0,6.0,12.0,3.0,7.0,183.0,67.0,60.0
EMIF,275.0,13.0,12.0,13.0,54.0,420.0,74.0,153.0
DOD-ADNI,8.0,9.0,1.0,1.0,2.0,83.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,26.0,66.0,2.0,47.0
