,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,287.0,23.0,5.0,0.0,9.0,493.0,22.0,178.0
EPAD,583.0,47.0,4.0,5.0,18.0,436.0,3.0,141.0
AIBL,19.0,2.0,1.0,0.0,0.0,19.0,6.0,10.0
ARWIBO,56.0,5.0,0.0,5.0,14.0,102.0,13.0,22.0
EDSD,23.0,1.0,5.0,1.0,0.0,34.0,14.0,7.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,121.0,0.0,4.0
PharmaCog,41.0,0.0,0.0,1.0,23.0,77.0,0.0,3.0
NACC,152.0,8.0,13.0,13.0,16.0,167.0,58.0,79.0
EMIF,282.0,19.0,22.0,9.0,26.0,362.0,92.0,202.0
DOD-ADNI,52.0,6.0,0.0,2.0,1.0,45.0,0.0,7.0
JADNI,56.0,0.0,1.0,0.0,17.0,65.0,5.0,53.0
