,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,267.0,31.0,8.0,0.0,33.0,429.0,12.0,237.0
EPAD,595.0,46.0,6.0,5.0,17.0,424.0,4.0,140.0
AIBL,15.0,0.0,2.0,1.0,0.0,28.0,2.0,9.0
ARWIBO,55.0,0.0,11.0,1.0,0.0,99.0,51.0,0.0
EDSD,21.0,2.0,2.0,1.0,7.0,32.0,4.0,16.0
PREVENT-AD,0.0,1.0,0.0,0.0,7.0,110.0,1.0,14.0
PharmaCog,42.0,0.0,2.0,0.0,1.0,71.0,5.0,24.0
NACC,185.0,6.0,2.0,8.0,37.0,208.0,29.0,31.0
EMIF,293.0,16.0,12.0,10.0,45.0,420.0,64.0,154.0
DOD-ADNI,51.0,6.0,0.0,1.0,2.0,47.0,1.0,5.0
JADNI,108.0,29.0,2.0,6.0,14.0,28.0,1.0,9.0
