,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,27.0,7.0,0.0,38.0,429.0,10.0,246.0
EPAD,593.0,54.0,4.0,6.0,18.0,409.0,7.0,146.0
AIBL,17.0,1.0,2.0,0.0,0.0,26.0,2.0,9.0
ARWIBO,58.0,1.0,5.0,2.0,3.0,106.0,32.0,10.0
EDSD,25.0,0.0,3.0,2.0,0.0,36.0,14.0,5.0
PREVENT-AD,92.0,9.0,0.0,3.0,0.0,23.0,1.0,5.0
PharmaCog,47.0,0.0,0.0,1.0,7.0,72.0,1.0,17.0
NACC,173.0,3.0,5.0,1.0,9.0,217.0,48.0,50.0
EMIF,292.0,20.0,25.0,7.0,25.0,363.0,111.0,171.0
DOD-ADNI,12.0,5.0,0.0,1.0,2.0,86.0,0.0,7.0
JADNI,81.0,17.0,4.0,4.0,9.0,35.0,5.0,42.0
