,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,290.0,25.0,0.0,4.0,44.0,466.0,5.0,183.0
EPAD,590.0,58.0,2.0,4.0,21.0,400.0,8.0,154.0
AIBL,10.0,0.0,0.0,0.0,5.0,39.0,0.0,3.0
ARWIBO,55.0,2.0,3.0,2.0,6.0,114.0,20.0,15.0
EDSD,19.0,1.0,4.0,1.0,1.0,32.0,19.0,8.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,116.0,5.0,10.0
PharmaCog,45.0,2.0,1.0,0.0,1.0,63.0,10.0,23.0
NACC,166.0,5.0,10.0,9.0,19.0,190.0,48.0,59.0
EMIF,269.0,14.0,10.0,7.0,42.0,446.0,62.0,164.0
DOD-ADNI,40.0,5.0,0.0,2.0,3.0,58.0,0.0,5.0
JADNI,55.0,0.0,1.0,0.0,19.0,80.0,2.0,40.0
