,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,24.0,2.0,0.0,22.0,492.0,11.0,187.0
EPAD,598.0,53.0,3.0,5.0,20.0,412.0,6.0,140.0
AIBL,20.0,0.0,0.0,0.0,1.0,28.0,0.0,8.0
ARWIBO,57.0,6.0,0.0,8.0,13.0,100.0,12.0,21.0
EDSD,23.0,1.0,5.0,1.0,2.0,32.0,7.0,14.0
PREVENT-AD,104.0,15.0,1.0,11.0,0.0,2.0,0.0,0.0
PharmaCog,48.0,1.0,2.0,0.0,2.0,68.0,3.0,21.0
NACC,178.0,5.0,14.0,3.0,5.0,175.0,71.0,55.0
EMIF,303.0,18.0,15.0,6.0,34.0,407.0,73.0,158.0
DOD-ADNI,39.0,8.0,0.0,0.0,0.0,58.0,0.0,8.0
JADNI,51.0,0.0,3.0,0.0,6.0,68.0,10.0,59.0
