,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,36.0,10.0,0.0,32.0,399.0,13.0,248.0
EPAD,591.0,53.0,2.0,5.0,19.0,416.0,6.0,145.0
AIBL,11.0,1.0,0.0,2.0,6.0,25.0,1.0,11.0
ARWIBO,67.0,2.0,4.0,2.0,5.0,104.0,20.0,13.0
EDSD,21.0,0.0,3.0,2.0,2.0,38.0,8.0,11.0
PREVENT-AD,108.0,18.0,1.0,4.0,0.0,2.0,0.0,0.0
PharmaCog,47.0,1.0,0.0,0.0,5.0,71.0,2.0,19.0
NACC,192.0,8.0,13.0,10.0,8.0,161.0,57.0,57.0
EMIF,291.0,12.0,9.0,6.0,38.0,451.0,66.0,141.0
DOD-ADNI,39.0,6.0,0.0,4.0,2.0,56.0,0.0,6.0
JADNI,56.0,0.0,1.0,0.0,22.0,74.0,2.0,42.0
