,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,26.0,7.0,0.0,43.0,426.0,8.0,249.0
EPAD,592.0,57.0,2.0,6.0,20.0,402.0,9.0,149.0
AIBL,16.0,0.0,2.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,51.0,11.0,6.0,7.0,3.0,68.0,20.0,51.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,107.0,2.0,5.0,0.0,0.0,15.0,4.0,0.0
PharmaCog,46.0,1.0,2.0,0.0,1.0,68.0,5.0,22.0
NACC,177.0,7.0,13.0,8.0,15.0,168.0,50.0,68.0
EMIF,297.0,17.0,14.0,7.0,29.0,419.0,79.0,152.0
DOD-ADNI,8.0,5.0,0.0,0.0,1.0,89.0,0.0,10.0
JADNI,55.0,0.0,1.0,0.0,14.0,69.0,5.0,53.0
