,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,282.0,26.0,10.0,0.0,2.0,459.0,31.0,207.0
EPAD,588.0,56.0,2.0,6.0,22.0,404.0,6.0,153.0
AIBL,15.0,0.0,0.0,3.0,9.0,22.0,0.0,8.0
ARWIBO,64.0,1.0,3.0,2.0,3.0,113.0,22.0,9.0
EDSD,27.0,0.0,3.0,1.0,0.0,38.0,11.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,4.0,113.0,2.0,13.0
PharmaCog,42.0,0.0,2.0,0.0,2.0,73.0,3.0,23.0
NACC,158.0,3.0,5.0,9.0,19.0,214.0,42.0,56.0
EMIF,328.0,21.0,13.0,10.0,42.0,407.0,51.0,142.0
DOD-ADNI,10.0,6.0,0.0,1.0,1.0,86.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,29.0,69.0,2.0,41.0
