,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,279.0,23.0,6.0,0.0,14.0,482.0,26.0,187.0
EPAD,578.0,52.0,3.0,6.0,19.0,426.0,6.0,147.0
AIBL,20.0,0.0,0.0,0.0,0.0,29.0,1.0,7.0
ARWIBO,58.0,3.0,12.0,2.0,3.0,74.0,46.0,19.0
EDSD,14.0,1.0,3.0,1.0,0.0,43.0,16.0,7.0
PREVENT-AD,1.0,1.0,0.0,0.0,2.0,116.0,2.0,11.0
PharmaCog,41.0,1.0,1.0,0.0,2.0,71.0,4.0,25.0
NACC,164.0,7.0,10.0,13.0,18.0,175.0,51.0,68.0
EMIF,290.0,13.0,8.0,8.0,48.0,440.0,45.0,162.0
DOD-ADNI,8.0,10.0,1.0,0.0,1.0,81.0,1.0,11.0
JADNI,55.0,0.0,5.0,0.0,13.0,47.0,7.0,70.0
