,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,276.0,25.0,10.0,0.0,2.0,465.0,29.0,210.0
EPAD,600.0,44.0,8.0,2.0,14.0,426.0,3.0,140.0
AIBL,44.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0
ARWIBO,49.0,1.0,3.0,2.0,0.0,127.0,29.0,6.0
EDSD,24.0,0.0,1.0,2.0,1.0,51.0,2.0,4.0
PREVENT-AD,0.0,1.0,0.0,0.0,2.0,121.0,0.0,9.0
PharmaCog,45.0,0.0,0.0,0.0,7.0,76.0,0.0,17.0
NACC,100.0,6.0,64.0,1.0,1.0,59.0,210.0,65.0
EMIF,309.0,15.0,10.0,5.0,36.0,434.0,69.0,136.0
DOD-ADNI,3.0,9.0,0.0,1.0,5.0,84.0,0.0,11.0
JADNI,52.0,0.0,1.0,0.0,29.0,70.0,2.0,43.0
