,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,24.0,4.0,0.0,24.0,477.0,14.0,193.0
EPAD,589.0,52.0,5.0,5.0,17.0,417.0,6.0,146.0
AIBL,9.0,0.0,1.0,0.0,0.0,36.0,2.0,9.0
ARWIBO,67.0,2.0,4.0,2.0,6.0,103.0,18.0,15.0
EDSD,18.0,1.0,4.0,1.0,0.0,41.0,15.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,3.0,117.0,1.0,11.0
PharmaCog,44.0,1.0,4.0,0.0,1.0,60.0,13.0,22.0
NACC,161.0,7.0,16.0,13.0,20.0,163.0,56.0,70.0
EMIF,290.0,13.0,10.0,5.0,34.0,446.0,71.0,145.0
DOD-ADNI,34.0,9.0,1.0,0.0,0.0,61.0,0.0,8.0
JADNI,56.0,0.0,1.0,0.0,19.0,80.0,2.0,39.0
