,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,31.0,7.0,0.0,52.0,413.0,3.0,248.0
EPAD,583.0,55.0,1.0,6.0,22.0,418.0,5.0,147.0
AIBL,0.0,2.0,0.0,8.0,27.0,7.0,0.0,13.0
ARWIBO,66.0,1.0,3.0,4.0,8.0,110.0,11.0,14.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,41.0,2.0,5.0,0.0,0.0,78.0,2.0,5.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,63.0,11.0,22.0
NACC,143.0,3.0,7.0,4.0,15.0,233.0,50.0,51.0
EMIF,297.0,16.0,10.0,6.0,41.0,430.0,59.0,155.0
DOD-ADNI,76.0,5.0,0.0,0.0,2.0,26.0,0.0,4.0
JADNI,56.0,0.0,1.0,0.0,29.0,67.0,2.0,42.0
