,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,18.0,5.0,0.0,8.0,511.0,29.0,180.0
EPAD,594.0,57.0,4.0,4.0,16.0,404.0,10.0,148.0
AIBL,11.0,0.0,1.0,1.0,1.0,34.0,1.0,8.0
ARWIBO,51.0,3.0,5.0,2.0,6.0,103.0,31.0,16.0
EDSD,20.0,1.0,5.0,1.0,0.0,37.0,16.0,5.0
PREVENT-AD,0.0,1.0,0.0,0.0,9.0,119.0,0.0,4.0
PharmaCog,46.0,0.0,0.0,1.0,20.0,75.0,0.0,3.0
NACC,132.0,4.0,12.0,3.0,5.0,220.0,64.0,66.0
EMIF,288.0,14.0,15.0,5.0,27.0,412.0,90.0,163.0
DOD-ADNI,5.0,8.0,1.0,1.0,0.0,88.0,0.0,10.0
JADNI,47.0,0.0,4.0,0.0,5.0,63.0,13.0,65.0
