,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,291.0,23.0,5.0,0.0,17.0,481.0,20.0,180.0
EPAD,589.0,59.0,2.0,3.0,20.0,400.0,9.0,155.0
AIBL,15.0,0.0,2.0,0.0,1.0,30.0,1.0,8.0
ARWIBO,59.0,6.0,7.0,2.0,4.0,85.0,30.0,24.0
EDSD,13.0,1.0,2.0,1.0,2.0,45.0,10.0,11.0
PREVENT-AD,96.0,15.0,0.0,7.0,1.0,9.0,2.0,3.0
PharmaCog,44.0,1.0,3.0,0.0,1.0,63.0,11.0,22.0
NACC,176.0,7.0,18.0,3.0,9.0,167.0,60.0,66.0
EMIF,295.0,13.0,12.0,7.0,42.0,446.0,53.0,146.0
DOD-ADNI,50.0,7.0,0.0,1.0,1.0,47.0,0.0,7.0
JADNI,53.0,0.0,1.0,0.0,25.0,82.0,2.0,34.0
