,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,23.0,4.0,0.0,21.0,489.0,17.0,189.0
EPAD,596.0,55.0,2.0,6.0,20.0,409.0,5.0,144.0
AIBL,1.0,1.0,0.0,8.0,22.0,13.0,0.0,12.0
ARWIBO,31.0,2.0,4.0,2.0,5.0,119.0,34.0,20.0
EDSD,23.0,0.0,2.0,2.0,0.0,46.0,7.0,5.0
PREVENT-AD,19.0,1.0,2.0,0.0,0.0,104.0,6.0,1.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,68.0,5.0,21.0
NACC,149.0,4.0,15.0,8.0,19.0,197.0,51.0,63.0
EMIF,318.0,19.0,12.0,6.0,36.0,411.0,63.0,149.0
DOD-ADNI,33.0,2.0,0.0,7.0,4.0,63.0,0.0,4.0
JADNI,52.0,0.0,1.0,0.0,19.0,67.0,5.0,53.0
