,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,29.0,11.0,0.0,7.0,452.0,26.0,226.0
EPAD,574.0,57.0,2.0,4.0,20.0,416.0,8.0,156.0
AIBL,15.0,0.0,2.0,0.0,0.0,30.0,1.0,9.0
ARWIBO,63.0,2.0,8.0,1.0,0.0,101.0,36.0,6.0
EDSD,25.0,2.0,2.0,1.0,10.0,25.0,4.0,16.0
PREVENT-AD,87.0,9.0,0.0,4.0,0.0,27.0,1.0,5.0
PharmaCog,39.0,1.0,1.0,0.0,2.0,67.0,11.0,24.0
NACC,163.0,2.0,1.0,4.0,14.0,272.0,25.0,25.0
EMIF,295.0,16.0,13.0,10.0,49.0,418.0,48.0,165.0
DOD-ADNI,24.0,7.0,0.0,4.0,3.0,68.0,0.0,7.0
JADNI,21.0,0.0,0.0,0.0,71.0,85.0,2.0,18.0
