,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,277.0,25.0,8.0,0.0,5.0,469.0,27.0,206.0
EPAD,591.0,52.0,5.0,5.0,16.0,414.0,7.0,147.0
AIBL,15.0,0.0,2.0,0.0,0.0,29.0,2.0,9.0
ARWIBO,53.0,8.0,3.0,5.0,7.0,89.0,24.0,28.0
EDSD,20.0,1.0,2.0,4.0,14.0,29.0,1.0,14.0
PREVENT-AD,108.0,16.0,2.0,5.0,0.0,2.0,0.0,0.0
PharmaCog,41.0,0.0,2.0,0.0,2.0,74.0,4.0,22.0
NACC,188.0,5.0,5.0,3.0,14.0,203.0,39.0,49.0
EMIF,300.0,15.0,11.0,9.0,47.0,441.0,44.0,147.0
DOD-ADNI,43.0,7.0,0.0,2.0,0.0,53.0,0.0,8.0
JADNI,54.0,0.0,2.0,0.0,12.0,64.0,7.0,58.0
