,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,290.0,28.0,0.0,4.0,56.0,444.0,3.0,192.0
EPAD,596.0,63.0,2.0,3.0,19.0,394.0,9.0,151.0
AIBL,18.0,0.0,2.0,0.0,1.0,27.0,1.0,8.0
ARWIBO,64.0,1.0,7.0,2.0,3.0,100.0,31.0,9.0
EDSD,20.0,1.0,5.0,1.0,0.0,29.0,24.0,5.0
PREVENT-AD,116.0,2.0,6.0,0.0,0.0,8.0,1.0,0.0
PharmaCog,48.0,0.0,0.0,1.0,21.0,72.0,0.0,3.0
NACC,166.0,3.0,13.0,1.0,6.0,203.0,60.0,54.0
EMIF,304.0,12.0,10.0,7.0,38.0,434.0,66.0,143.0
DOD-ADNI,39.0,15.0,0.0,3.0,1.0,46.0,0.0,9.0
JADNI,55.0,0.0,2.0,0.0,23.0,51.0,4.0,62.0
