,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,290.0,27.0,5.0,0.0,18.0,465.0,22.0,190.0
EPAD,581.0,44.0,7.0,4.0,15.0,442.0,3.0,141.0
AIBL,14.0,0.0,2.0,0.0,0.0,31.0,1.0,9.0
ARWIBO,45.0,7.0,5.0,8.0,14.0,74.0,12.0,52.0
EDSD,22.0,2.0,5.0,2.0,7.0,22.0,5.0,20.0
PREVENT-AD,0.0,1.0,0.0,0.0,1.0,117.0,1.0,13.0
PharmaCog,48.0,0.0,0.0,1.0,20.0,73.0,0.0,3.0
NACC,173.0,6.0,14.0,4.0,16.0,187.0,46.0,60.0
EMIF,294.0,11.0,9.0,7.0,41.0,443.0,60.0,149.0
DOD-ADNI,47.0,8.0,0.0,0.0,0.0,50.0,0.0,8.0
JADNI,49.0,0.0,1.0,0.0,14.0,77.0,6.0,50.0
