,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,292.0,25.0,5.0,0.0,17.0,475.0,21.0,182.0
EPAD,591.0,52.0,2.0,6.0,23.0,417.0,5.0,141.0
AIBL,21.0,0.0,0.0,0.0,0.0,28.0,0.0,8.0
ARWIBO,60.0,1.0,5.0,2.0,3.0,109.0,25.0,12.0
EDSD,19.0,2.0,4.0,1.0,3.0,26.0,10.0,20.0
PREVENT-AD,79.0,8.0,1.0,4.0,0.0,34.0,1.0,6.0
PharmaCog,46.0,1.0,2.0,0.0,2.0,68.0,5.0,21.0
NACC,140.0,5.0,8.0,4.0,14.0,228.0,46.0,61.0
EMIF,297.0,16.0,12.0,11.0,51.0,419.0,50.0,158.0
DOD-ADNI,47.0,6.0,0.0,2.0,2.0,50.0,0.0,6.0
JADNI,49.0,0.0,1.0,0.0,21.0,74.0,3.0,49.0
