,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,26.0,5.0,0.0,38.0,441.0,10.0,239.0
EPAD,600.0,48.0,6.0,4.0,15.0,422.0,4.0,138.0
AIBL,14.0,0.0,2.0,0.0,1.0,32.0,0.0,8.0
ARWIBO,59.0,4.0,5.0,2.0,6.0,98.0,26.0,17.0
EDSD,22.0,0.0,1.0,2.0,11.0,44.0,0.0,5.0
PREVENT-AD,97.0,10.0,0.0,1.0,0.0,20.0,1.0,4.0
PharmaCog,48.0,1.0,2.0,0.0,1.0,62.0,8.0,23.0
NACC,148.0,3.0,6.0,4.0,16.0,235.0,43.0,51.0
EMIF,296.0,14.0,6.0,7.0,48.0,467.0,33.0,143.0
DOD-ADNI,25.0,8.0,0.0,3.0,2.0,67.0,0.0,8.0
JADNI,10.0,0.0,46.0,0.0,0.0,8.0,65.0,68.0
