,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,276.0,32.0,8.0,0.0,32.0,421.0,12.0,236.0
EPAD,590.0,55.0,2.0,6.0,21.0,410.0,5.0,148.0
AIBL,16.0,0.0,2.0,0.0,1.0,29.0,1.0,8.0
ARWIBO,48.0,11.0,6.0,6.0,3.0,70.0,25.0,48.0
EDSD,12.0,1.0,3.0,1.0,1.0,43.0,16.0,8.0
PREVENT-AD,107.0,11.0,0.0,1.0,0.0,10.0,1.0,3.0
PharmaCog,47.0,1.0,0.0,0.0,4.0,72.0,2.0,19.0
NACC,173.0,5.0,5.0,3.0,7.0,194.0,60.0,59.0
EMIF,349.0,23.0,8.0,24.0,36.0,383.0,47.0,144.0
DOD-ADNI,23.0,12.0,2.0,0.0,0.0,67.0,0.0,9.0
JADNI,55.0,0.0,1.0,0.0,19.0,68.0,3.0,51.0
