,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,19.0,3.0,0.0,23.0,495.0,18.0,195.0
EPAD,595.0,43.0,7.0,3.0,14.0,438.0,3.0,134.0
AIBL,20.0,0.0,2.0,0.0,0.0,25.0,6.0,4.0
ARWIBO,34.0,3.0,6.0,2.0,3.0,95.0,53.0,21.0
EDSD,20.0,1.0,5.0,1.0,0.0,32.0,21.0,5.0
PREVENT-AD,95.0,11.0,3.0,0.0,0.0,19.0,1.0,4.0
PharmaCog,38.0,0.0,1.0,0.0,1.0,75.0,7.0,23.0
NACC,160.0,4.0,8.0,3.0,9.0,205.0,55.0,62.0
EMIF,302.0,22.0,19.0,7.0,27.0,368.0,78.0,191.0
DOD-ADNI,13.0,7.0,0.0,2.0,0.0,82.0,0.0,9.0
JADNI,51.0,0.0,4.0,0.0,8.0,59.0,12.0,63.0
