,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,281.0,23.0,5.0,0.0,19.0,486.0,20.0,183.0
EPAD,572.0,52.0,4.0,6.0,18.0,431.0,6.0,148.0
AIBL,16.0,0.0,2.0,0.0,0.0,29.0,1.0,9.0
ARWIBO,53.0,3.0,2.0,3.0,6.0,112.0,21.0,17.0
EDSD,25.0,1.0,5.0,2.0,1.0,30.0,10.0,11.0
PREVENT-AD,120.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0
PharmaCog,41.0,1.0,1.0,0.0,3.0,72.0,4.0,23.0
NACC,156.0,4.0,11.0,3.0,9.0,202.0,57.0,64.0
EMIF,271.0,12.0,9.0,9.0,53.0,445.0,53.0,162.0
DOD-ADNI,24.0,8.0,0.0,3.0,0.0,70.0,0.0,8.0
JADNI,47.0,2.0,1.0,0.0,29.0,51.0,4.0,63.0
