,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,32.0,9.0,0.0,26.0,420.0,14.0,242.0
EPAD,590.0,53.0,4.0,6.0,17.0,410.0,8.0,149.0
AIBL,18.0,0.0,0.0,0.0,1.0,30.0,0.0,8.0
ARWIBO,49.0,9.0,10.0,2.0,2.0,67.0,45.0,33.0
EDSD,24.0,0.0,1.0,2.0,8.0,45.0,0.0,5.0
PREVENT-AD,106.0,9.0,2.0,1.0,0.0,12.0,2.0,1.0
PharmaCog,42.0,2.0,6.0,0.0,1.0,56.0,14.0,24.0
NACC,192.0,6.0,11.0,2.0,4.0,181.0,57.0,53.0
EMIF,275.0,15.0,8.0,7.0,55.0,440.0,43.0,171.0
DOD-ADNI,36.0,6.0,0.0,1.0,2.0,62.0,1.0,5.0
JADNI,55.0,0.0,1.0,0.0,21.0,64.0,5.0,51.0
